Nama_File,Kategori,Luas,Kontras,Homogenitas
equ_asli_nor_0_1.jpg,Mata_Normal,5688,223.21,0.3
equ_asli_nor_0_10.jpg,Mata_Normal,6183,204.61,0.23
equ_asli_nor_0_11.jpg,Mata_Normal,2772,140.36,0.34
equ_asli_nor_0_12.jpg,Mata_Normal,7363,189.14,0.23
equ_asli_nor_0_13.jpg,Mata_Normal,4149,229.6,0.24
equ_asli_nor_0_14.jpg,Mata_Normal,1876,47.82,0.41
equ_asli_nor_0_15.jpg,Mata_Normal,7535,340.24,0.25
equ_asli_nor_0_16.jpg,Mata_Normal,6520,379.84,0.31
equ_asli_nor_0_17.jpg,Mata_Normal,2749,96.56,0.34
equ_asli_nor_0_18.jpg,Mata_Normal,4716,334.84,0.37
equ_asli_nor_0_19.jpg,Mata_Normal,5172,396.31,0.33
equ_asli_nor_0_2.jpg,Mata_Normal,7135,804.91,0.14
equ_asli_nor_0_20.jpg,Mata_Normal,2064,53.96,0.55
equ_asli_nor_0_21.jpg,Mata_Normal,4385,206.5,0.27
equ_asli_nor_0_22.jpg,Mata_Normal,4466,327.84,0.26
equ_asli_nor_0_23.jpg,Mata_Normal,7828,274.83,0.16
equ_asli_nor_0_24.jpg,Mata_Normal,4963,301.43,0.35
equ_asli_nor_0_25.jpg,Mata_Normal,9507,1167.3,0.24
equ_asli_nor_0_26.jpg,Mata_Normal,5390,148.27,0.23
equ_asli_nor_0_27.jpg,Mata_Normal,9467,507.32,0.19
equ_asli_nor_0_28.jpg,Mata_Normal,7091,270.05,0.21
equ_asli_nor_0_29.jpg,Mata_Normal,11045,590.8,0.13
equ_asli_nor_0_3.jpg,Mata_Normal,8287,645.85,0.33
equ_asli_nor_0_30.jpg,Mata_Normal,4587,164.78,0.35
equ_asli_nor_0_31.jpg,Mata_Normal,7703,233.43,0.18
equ_asli_nor_0_32.jpg,Mata_Normal,7708,417.6,0.34
equ_asli_nor_0_33.jpg,Mata_Normal,6648,286.51,0.21
equ_asli_nor_0_34.jpg,Mata_Normal,7120,257.7,0.2
equ_asli_nor_0_35.jpg,Mata_Normal,7622,358.5,0.23
equ_asli_nor_0_36.jpg,Mata_Normal,2245,75.47,0.28
equ_asli_nor_0_37.jpg,Mata_Normal,4152,167.43,0.41
equ_asli_nor_0_38.jpg,Mata_Normal,8705,402.17,0.18
equ_asli_nor_0_39.jpg,Mata_Normal,3570,96.92,0.3
equ_asli_nor_0_4.jpg,Mata_Normal,6527,268.17,0.21
equ_asli_nor_0_40.jpg,Mata_Normal,4488,189.52,0.29
equ_asli_nor_0_41.jpg,Mata_Normal,9510,876.97,0.19
equ_asli_nor_0_42.jpg,Mata_Normal,10216,597.5,0.19
equ_asli_nor_0_43.jpg,Mata_Normal,2038,81.56,0.4
equ_asli_nor_0_44.jpg,Mata_Normal,9058,486.89,0.23
equ_asli_nor_0_45.jpg,Mata_Normal,6855,276.94,0.2
equ_asli_nor_0_46.jpg,Mata_Normal,2099,44.38,0.39
equ_asli_nor_0_47.jpg,Mata_Normal,6836,261.72,0.23
equ_asli_nor_0_48.jpg,Mata_Normal,6560,531.16,0.22
equ_asli_nor_0_49.jpg,Mata_Normal,5495,380.95,0.3
equ_asli_nor_0_5.jpg,Mata_Normal,6726,415.85,0.24
equ_asli_nor_0_50.jpg,Mata_Normal,7371,202.33,0.23
equ_asli_nor_0_6.jpg,Mata_Normal,7449,355.3,0.26
equ_asli_nor_0_7.jpg,Mata_Normal,5643,152.07,0.26
equ_asli_nor_0_8.jpg,Mata_Normal,7823,240.22,0.2
equ_asli_nor_0_9.jpg,Mata_Normal,9649,612.35,0.15
equ_aug_bright_nor_0_1.jpg,Mata_Normal,6208,243.06,0.32
